"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"FXCADUSD","CAD/USD","Canadian dollar to US dollar daily exchange rate"

"OBSERVATIONS"
"date","FXCADUSD"
"2017-01-03","0.7443"
"2017-01-04","0.7510"
"2017-01-05","0.7551"
"2017-01-06","0.7568"
"2017-01-09","0.7553"
"2017-01-10","0.7568"
"2017-01-11","0.7547"
"2017-01-12","0.7630"
"2017-01-13","0.7610"
"2017-01-16","0.7603"
"2017-01-17","0.7659"
"2017-01-18","0.7634"
"2017-01-19","0.7517"
"2017-01-20","0.7487"
"2017-01-23","0.7524"
"2017-01-24","0.7591"
"2017-01-25","0.7641"
"2017-01-26","0.7632"
"2017-01-27","0.7620"
"2017-01-30","0.7625"
"2017-01-31","0.7675"
"2017-02-01","0.7649"
"2017-02-02","0.7683"
"2017-02-03","0.7683"
"2017-02-06","0.7634"
"2017-02-07","0.7595"
"2017-02-08","0.7601"
"2017-02-09","0.7618"
"2017-02-10","0.7643"
"2017-02-13","0.7644"
"2017-02-14","0.7651"
"2017-02-15","0.7641"
"2017-02-16","0.7660"
"2017-02-17","0.7632"
"2017-02-21","0.7606"
"2017-02-22","0.7587"
"2017-02-23","0.7628"
"2017-02-24","0.7637"
"2017-02-27","0.7623"
"2017-02-28","0.7548"
"2017-03-01","0.7497"
"2017-03-02","0.7470"
"2017-03-03","0.7460"
"2017-03-06","0.7460"
"2017-03-07","0.7453"
"2017-03-08","0.7421"
"2017-03-09","0.7400"
"2017-03-10","0.7427"
"2017-03-13","0.7437"
"2017-03-14","0.7416"
"2017-03-15","0.7447"
"2017-03-16","0.7508"
"2017-03-17","0.7498"
"2017-03-20","0.7486"
"2017-03-21","0.7509"
"2017-03-22","0.7485"
"2017-03-23","0.7499"
"2017-03-24","0.7477"
"2017-03-27","0.7478"
"2017-03-28","0.7477"
"2017-03-29","0.7483"
"2017-03-30","0.7517"
"2017-03-31","0.7513"
"2017-04-03","0.7472"
"2017-04-04","0.7449"
"2017-04-05","0.7458"
"2017-04-06","0.7453"
"2017-04-07","0.7465"
"2017-04-10","0.7491"
"2017-04-11","0.7501"
"2017-04-12","0.7519"
"2017-04-13","0.7533"
"2017-04-17","0.7525"
"2017-04-18","0.7476"
"2017-04-19","0.7429"
"2017-04-20","0.7417"
"2017-04-21","0.7404"
"2017-04-24","0.7412"
"2017-04-25","0.7357"
"2017-04-26","0.7357"
"2017-04-27","0.7340"
"2017-04-28","0.7320"
"2017-05-01","0.7321"
"2017-05-02","0.7289"
"2017-05-03","0.7292"
"2017-05-04","0.7276"
"2017-05-05","0.7293"
"2017-05-08","0.7297"
"2017-05-09","0.7284"
"2017-05-10","0.7314"
"2017-05-11","0.7296"
"2017-05-12","0.7292"
"2017-05-15","0.7331"
"2017-05-16","0.7355"
"2017-05-17","0.7345"
"2017-05-18","0.7347"
"2017-05-19","0.7383"
"2017-05-23","0.7413"
"2017-05-24","0.7429"
"2017-05-25","0.7433"
"2017-05-26","0.7432"
"2017-05-29","0.7437"
"2017-05-30","0.7424"
"2017-05-31","0.7407"
"2017-06-01","0.7407"
"2017-06-02","0.7405"
"2017-06-05","0.7417"
"2017-06-06","0.7429"
"2017-06-07","0.7412"
"2017-06-08","0.7406"
"2017-06-09","0.7433"
"2017-06-12","0.7454"
"2017-06-13","0.7554"
"2017-06-14","0.7571"
"2017-06-15","0.7528"
"2017-06-16","0.7557"
"2017-06-19","0.7564"
"2017-06-20","0.7537"
"2017-06-21","0.7513"
"2017-06-22","0.7552"
"2017-06-23","0.7537"
"2017-06-26","0.7554"
"2017-06-27","0.7583"
"2017-06-28","0.7657"
"2017-06-29","0.7683"
"2017-06-30","0.7706"
"2017-07-04","0.7727"
"2017-07-05","0.7703"
"2017-07-06","0.7724"
"2017-07-07","0.7760"
"2017-07-10","0.7759"
"2017-07-11","0.7740"
"2017-07-12","0.7816"
"2017-07-13","0.7847"
"2017-07-14","0.7891"
"2017-07-17","0.7893"
"2017-07-18","0.7919"
"2017-07-19","0.7940"
"2017-07-20","0.7946"
"2017-07-21","0.7969"
"2017-07-24","0.7992"
"2017-07-25","0.7996"
"2017-07-26","0.7997"
"2017-07-27","0.7987"
"2017-07-28","0.8034"
"2017-07-31","0.8010"
"2017-08-01","0.7991"
"2017-08-02","0.7962"
"2017-08-03","0.7950"
"2017-08-04","0.7913"
"2017-08-08","0.7891"
"2017-08-09","0.7871"
"2017-08-10","0.7867"
"2017-08-11","0.7883"
"2017-08-14","0.7871"
"2017-08-15","0.7840"
"2017-08-16","0.7875"
"2017-08-17","0.7907"
"2017-08-18","0.7945"
"2017-08-21","0.7952"
"2017-08-22","0.7967"
"2017-08-23","0.7959"
"2017-08-24","0.7981"
"2017-08-25","0.8005"
"2017-08-28","0.8012"
"2017-08-29","0.7990"
"2017-08-30","0.7933"
"2017-08-31","0.7977"
"2017-09-01","0.8071"
"2017-09-05","0.8083"
"2017-09-06","0.8154"
"2017-09-07","0.8232"
"2017-09-08","0.8243"
"2017-09-11","0.8245"
"2017-09-12","0.8224"
"2017-09-13","0.8205"
"2017-09-14","0.8198"
"2017-09-15","0.8209"
"2017-09-18","0.8171"
